번호,식품군,식품이름,1회제공량 (g),열량 (kcal),탄수화물 (g),단백질 (g),지방 (g),당류 (g),나트륨 (mg),콜레스테롤 (mg),포화지방산 (g),트랜스지방산 (g)
974,찜류,소갈비찜(서울),250,560,14.88,54.49,31.3,6.36,893.9,155.49,12.6,1.26
975,찜류,소갈비찜(전라도),250,430,11.96,47.21,21.36,4.61,675.96,130.86,7.98,0.64
976,찜류,소갈비찜(충청도),250,485,14.54,48,26.11,4.63,706.15,134.72,11.25,1.18
977,찜류,참꼬막       ,80,90.4,4.56,12.48,2.48,0,234.16,65.03,0.4,0
978,찜류,돼지고기 수육,300,1205.9,10.3,67.08,99.6,0.25,416.68,133.91,36.97,0.33
979,찜류,돼지고기 수육(강원도),300,1263,17.74,71.92,100.56,0.22,493.61,157.11,35.25,0.25
980,찜류,돼지고기 수육(경기도),300,1182,13.52,66.62,95.64,0.76,393.08,125.56,38.61,0.35
981,찜류,돼지고기 수육(경상도),300,1251,5.84,66.57,106.96,0.52,381.81,101.43,43.95,0.51
982,찜류,돼지고기 수육(서울),300,1101,8.6,67.97,88.39,0,380.14,143.52,33.02,0.34
983,찜류,돼지고기 수육(전라도),300,1266,2.67,66.44,109.91,0,402.81,124.06,35.33,0.27
984,찜류,돼지고기 수육(충청도),300,1170,13.46,62.97,96.11,0,448.62,151.8,35.67,0.26
985,찜류,족발,150,393.77,5.51,39.04,23.95,0.32,542.57,74.87,6.97,0.1
986,찜류,족발(강원도),150,376.5,0.8,39.31,24,0.71,578.22,49.04,6.15,0.08
987,찜류,족발(경기도),150,493.5,11.26,36.6,33.52,0,512.15,77.27,5.9,0.06
988,찜류,족발(경상도),150,352.5,6.85,39.81,18.38,0.65,633.59,75.29,7.87,0.14
989,찜류,족발(서울),150,363,10.06,38.65,18.74,0,577.82,113.66,5.05,0.09
990,찜류,족발(전라도),150,384,3.97,39.63,23.29,0.55,431.74,36.38,7.8,0.09
991,찜류,족발(충청도),150,393,0.11,40.24,25.81,0,521.89,97.59,9.06,0.14
992,찜류,순대 ,300,547.59,94.88,7.96,9.93,0.91,1315.19,49.22,3.76,0.06
993,찜류,순대 (강원도),300,498,100.86,8.52,6.77,1.15,1474.91,56.6,3.32,0.08
994,찜류,순대 (경기도),300,552,103.04,8.36,11.98,0.31,1314.78,38.45,3.22,0.03
995,찜류,순대 (경상도),300,504,95.32,9.42,9.46,0.45,1397.2,42.9,4.03,0.08
996,찜류,순대 (서울),300,546,98.24,8.66,13.05,0.88,1198.5,64.47,4.4,0.1
997,찜류,순대 (전라도),300,630,63.17,6.83,7.66,1.97,1093.49,63.58,3.82,0.04
998,찜류,순대 (충청도),300,555,108.61,5.98,10.68,0.71,1412.27,29.32,3.74,0.05
999,찜류,한방오리백숙,300,469.53,3.36,68.79,20.1,0.35,276.43,372.07,6.39,0.14
1000,찜류,한방오리백숙(강원도),300,462,4.94,70.71,17.65,0.05,301.44,403,6.22,0.14
1001,찜류,한방오리백숙(경기도),300,459,2.41,74.56,16.9,0.2,282.95,410.01,5.47,0.11
1002,찜류,한방오리백숙(경상도),300,555,4.71,61,32.61,0.14,281.65,345.25,8.42,0.21
1003,찜류,한방오리백숙(서울),300,393,1.63,55.27,18.35,1.3,295.12,258.37,6.69,0.15
1004,찜류,한방오리백숙(전라도),300,495,3.74,80.85,17.54,0.29,242.89,461.18,5.43,0.1
1005,찜류,한방오리백숙(충청도),300,450,2.73,70.36,17.58,0.12,254.53,354.61,6.13,0.14
1006,구이류,갈치구이,250,481.32,0.35,61.99,25.77,0.35,1022.03,198.95,7.35,0.25
1007,구이류,갈치구이(강원도),250,485,0,62.78,26.12,0,602.46,198.97,7.37,0.2
1008,구이류,갈치구이(경기도),250,380,0.42,57.84,16.31,0.42,938.34,164.91,4.74,0.15
1009,구이류,갈치구이(경상도),250,492.5,0.42,60.8,27.61,0.42,854.5,166.8,7.72,0.26
1010,구이류,갈치구이(서울),250,530,0.43,62.96,30.71,0.43,1192.95,194.61,7.81,0.34
1011,구이류,갈치구이(전라도),250,502.5,0.47,62.86,27.74,0.47,822.41,224.84,9.32,0.28
1012,구이류,갈치구이(충청도),250,495,0.39,64.71,26.12,0.39,1721.53,243.58,7.11,0.27
1013,구이류,고등어구이,250,667.87,1.86,59.24,47.18,0.35,1227.73,136.31,12.13,0.51
1014,구이류,고등어구이(강원도),250,720,0,59.2,53.61,0,1562.08,132.24,13.53,0.27
1015,구이류,고등어구이(경기도),250,717.5,0.45,57.39,53.97,0.45,1259.02,120.06,11.81,0.64
1016,구이류,고등어구이(경상도),250,587.5,3.18,60.91,36.68,0.38,1532.66,135.64,8.57,0.33
1017,구이류,고등어구이(서울),250,660,1.77,59.76,45.87,0.39,1128.6,134.1,11,0.55
1018,구이류,고등어구이(전라도),250,642.5,0.45,61.98,43.68,0.45,1003.7,152.26,13.58,0.44
1019,구이류,고등어구이(충청도),250,690,5.28,56.22,49.26,0.43,880.33,143.55,14.3,0.81
1020,구이류,양념장어구이,150,433.35,8.8,30.77,30.56,4.18,704.64,215.24,7.1,0.27
1021,구이류,양념장어구이(강원도),150,459,5,32.19,34.4,3.8,591.6,190.82,7.73,0.25
1022,구이류,양념장어구이(경기도),150,390,17.73,29.19,22.51,7.52,874.71,236.7,6.73,0.35
1023,구이류,양념장어구이(경상도),150,451.5,11.18,28.68,32.37,3.53,794.68,232.18,6.81,0.24
1024,구이류,양념장어구이(서울),150,463.5,7.32,30.98,34.4,4.98,851.92,149.55,7.05,0.24
1025,구이류,양념장어구이(전라도),150,451.5,4.39,32.59,33.81,2.12,629.07,243.41,8.07,0.3
1026,구이류,양념장어구이(충청도),150,385.5,7.21,31,25.86,3.15,485.85,238.77,6.24,0.23
1027,구이류,돼지갈비구이,350,941.38,29.07,72.7,59.37,11.37,1341.59,189.03,21.84,0.34
1028,구이류,돼지갈비구이(강원도),350,906.5,35.52,75.11,51.38,24.48,1665.29,201.56,19.37,0.26
1029,구이류,돼지갈비구이(경기도),350,868,38.09,70.4,48.08,8.19,1226.53,176.61,19.46,0.28
1030,구이류,돼지갈비구이(경상도),350,1095.5,32.14,72.25,75.36,14.09,1545.53,170.95,27.43,0.42
1031,구이류,돼지갈비구이(서울),350,913.5,28.11,71.64,57.23,6.95,1364.4,232.8,20.78,0.29
1032,구이류,돼지갈비구이(전라도),350,1039.5,15.9,77.69,73.97,6.43,973.79,175.72,25.08,0.43
1033,구이류,돼지갈비구이(충청도),350,826,24.67,69.08,50.19,8.1,1274,176.54,18.94,0.34
1034,구이류,닭꼬치,70,176.72,13.35,11.56,8.57,3.15,286.91,31.44,2.32,0.04
1035,구이류,닭꼬치(강원도),70,175,6.8,16.46,9.14,2.21,259.9,22.24,2.6,0.04
1036,구이류,닭꼬치(경기도),70,169.4,15.87,9.87,7.36,2.1,350.58,26.26,2.1,0.04
1037,구이류,닭꼬치(경상도),70,186.2,12.16,11.06,10.35,3.96,300.45,29.41,2.72,0.06
1038,구이류,닭꼬치(서울),70,177.1,18.08,10.46,6.96,2.61,240.2,48.61,1.42,0.04
1039,구이류,닭꼬치(전라도),70,157.5,14.08,8.2,7.56,4.07,262.55,24.92,2.18,0.02
1040,구이류,닭꼬치(충청도),70,196,13.09,13.31,10,3.96,307.79,37.23,2.88,0.07
1041,구이류,햄버그스테이크,200,457.7,20.76,26.96,29.65,5.33,950.22,70.28,9.41,0.31
1042,구이류,햄버그스테이크(강원도),200,454,18.42,25.5,30.84,1.15,967.54,60.77,8.8,0.43
1043,구이류,햄버그스테이크(경기도),200,462,22.58,26.95,29.24,4.03,933.75,71.62,10.69,0.54
1044,구이류,햄버그스테이크(경상도),200,484,13.65,27.75,35.28,8.6,916.59,77.8,9.94,0.14
1045,구이류,햄버그스테이크(서울),200,408,23.66,29.73,21.68,3.91,886.74,72.09,7.11,0.28
1046,구이류,햄버그스테이크(전라도),200,454,23.95,24.37,28.9,11.72,1058.79,55.5,8.38,0.09
1047,구이류,햄버그스테이크(충청도),200,486,22.29,27.46,31.94,2.6,937.91,83.87,11.54,0.42
1048,구이류,훈제오리,250,797.14,12.08,43.06,64.06,0.27,1220.37,171,15.98,0.39
1049,구이류,훈제오리(강원도),250,705,11.96,41.3,54.72,0,1343.06,188.17,15.68,0.42
1050,구이류,훈제오리(경기도),250,820,2.17,40.54,72.15,0,1059.57,172.13,14.88,0.4
1051,구이류,훈제오리(경상도),250,797.5,3.79,42.23,68.04,0.7,1080.98,164.55,16.27,0.39
1052,구이류,훈제오리(서울),250,850,26.5,42.26,63.96,0,1087.72,147.76,16.76,0.3
1053,구이류,훈제오리(전라도),250,795,11.72,43.55,63.9,0.54,1502.93,168.72,16.03,0.41
1054,구이류,훈제오리(충청도),250,815,16.32,48.48,61.63,0.38,1247.95,184.7,16.29,0.44
1055,구이류,소불고기,200,176.71,18.3,12.75,5.83,3.36,892.09,41.41,1.55,0.16
1056,구이류,소불고기(강원도),200,182,20.05,11.84,5.99,4.19,948.43,35.75,1.64,0.21
1057,구이류,소불고기(경기도),200,158,15.52,13.14,4.88,1.1,887.05,43.14,1.15,0.12
1058,구이류,소불고기(경상도),200,200,22.98,12.21,6.52,5.33,906.28,40.48,1.94,0.19
1059,구이류,소불고기(서울),200,188,14.76,14.36,7.88,3.44,880.11,53.47,1.49,0.17
1060,구이류,소불고기(전라도),200,166,16.38,13.97,5.01,3.11,929.63,42.03,1.24,0.11
1061,구이류,소불고기(충청도),200,166,20.08,11.01,4.73,3.01,801.04,33.61,1.82,0.15
1062,전/ 적 및 부침류,김치전,150,282.27,34.49,7.1,12.88,1.55,686.94,28.52,2.23,0.08
1063,전/ 적 및 부침류,김치전(강원도),150,270,31.84,8.13,12.23,1.75,718.43,48.3,2.34,0.08
1064,전/ 적 및 부침류,김치전(경기도),150,283.5,34.76,6.74,13.07,0.91,758.77,23.73,2.2,0.09
1065,전/ 적 및 부침류,김치전(경상도),150,286.5,32.16,8.06,13.94,0.91,735.54,32.4,2.61,0.09
1066,전/ 적 및 부침류,김치전(서울),150,292.5,36.29,7.09,13.15,1.49,673.96,20.18,2.14,0.08
1067,전/ 적 및 부침류,김치전(전라도),150,283.5,30.33,6.42,15.11,2.64,663.41,36.82,2.32,0.09
1068,전/ 적 및 부침류,김치전(충청도),150,279,41.55,6.16,9.78,1.62,571.54,9.67,1.74,0.07
1069,전/ 적 및 부침류,깻잎전,150,361.1,14.54,17.74,25.78,1.06,480.15,131.8,5.43,0.15
1070,전/ 적 및 부침류,깻잎전(강원도),150,361.5,10.78,19.82,26.56,0.53,457.92,135.55,5.73,0.15
1071,전/ 적 및 부침류,깻잎전(경기도),150,304.5,18.36,14.02,19.5,1.69,420.69,125.48,4.53,0.13
1072,전/ 적 및 부침류,깻잎전(경상도),150,382.5,15.65,16.01,28.42,0.26,565.48,122.6,5.26,0.17
1073,전/ 적 및 부침류,깻잎전(서울),150,417,16.54,19.53,30.32,1.09,585.15,107.63,6.23,0.16
1074,전/ 적 및 부침류,깻잎전(전라도),150,357,15.44,18.73,24.53,1.93,465.03,178.68,5.11,0.13
1075,전/ 적 및 부침류,깻잎전(충청도),150,343.5,10.48,18.3,25.32,0.86,386.62,120.83,5.69,0.14
1076,전/ 적 및 부침류,버섯전,150,240,16.2,10.5,14.85,2.7,313.75,100.1,2.25,0
1077,전/ 적 및 부침류,부추전,150,253.5,37.35,5.7,9,1.35,249.44,9.27,1.35,0
1078,전/ 적 및 부침류,고추전,150,274.69,17.01,12.91,17.22,2.17,362.2,78.81,3.52,0.09
1079,전/ 적 및 부침류,고추전(강원도),150,265.5,13.96,14.61,16.83,1.47,317.32,103.09,3.66,0.06
1080,전/ 적 및 부침류,고추전(경기도),150,265.5,23.16,11.28,14.2,3.39,371.96,61.16,3.52,0.11
1081,전/ 적 및 부침류,고추전(경상도),150,330,25.56,9.86,20.97,3.1,411.69,48.58,3.5,0.12
1082,전/ 적 및 부침류,고추전(서울),150,270,12.08,14.65,18.16,1.63,375.41,96.92,3.52,0.1
1083,전/ 적 및 부침류,고추전(전라도),150,261,15.98,13.85,15.76,1.49,363.04,87.16,3.13,0.08
1084,전/ 적 및 부침류,고추전(충청도),150,255,11.32,13.21,17.41,1.94,333.81,75.96,3.78,0.08
1085,전/ 적 및 부침류,호박전,150,208.5,16.05,6.45,13.05,2.85,276.96,92.52,2.4,0
1086,전/ 적 및 부침류,배추전,150,240,35.55,5.1,8.7,4.95,326.82,7.23,1.35,0.15
1087,전/ 적 및 부침류,미나리전     ,150,226.5,34.2,5.25,7.65,1.8,248.7,11.88,1.2,0
1088,전/ 적 및 부침류,녹두빈대떡,100,207.94,20.93,7.94,10.27,0.1,232.05,12.48,2.26,0.06
1089,전/ 적 및 부침류,녹두빈대떡(강원도),100,218,22.81,8.04,10.55,0.02,211.28,9.93,3.46,0.1
1090,전/ 적 및 부침류,녹두빈대떡(경기도),100,198,18,8.26,10.34,0,216.56,15.64,1.69,0.05
1091,전/ 적 및 부침류,녹두빈대떡(경상도),100,210,23.32,6.22,10.26,0.29,274.19,17.76,2.28,0.07
1092,전/ 적 및 부침류,녹두빈대떡(서울),100,229,18.21,8.88,13.41,0.12,236.35,8.01,2.41,0.05
1093,전/ 적 및 부침류,녹두빈대떡(전라도),100,183,22.24,8.21,6.78,0.12,250.81,10.71,1.8,0.05
1094,전/ 적 및 부침류,녹두빈대떡(충청도),100,209,21.02,8.05,10.28,0.06,203.09,12.86,1.92,0.05
1095,전/ 적 및 부침류,쇠고기산적,200,454,7.4,48.4,25.6,0,1392.84,134.84,7,0.8
1096,전/ 적 및 부침류,화양적,150,272.65,21.35,13.58,14.77,1.21,797.03,123.25,3.82,0.1
1097,전/ 적 및 부침류,화양적(강원도),150,261,20.32,12.54,14.41,0.23,857.63,106.12,3.52,0.08
1098,전/ 적 및 부침류,화양적(경기도),150,271.5,22.47,14.1,13.9,1.94,847.08,151.67,4.06,0.1
1099,전/ 적 및 부침류,화양적(경상도),150,276,20.17,13.28,15.75,1.39,790.44,145.5,4.14,0.12
1100,전/ 적 및 부침류,화양적(서울),150,294,21.49,13.76,17.06,1.15,807.83,104.83,3.54,0.09
1101,전/ 적 및 부침류,화양적(전라도),150,261,21.47,15.3,12.62,1.18,697.85,125.65,3.83,0.08
1102,전/ 적 및 부침류,화양적(충청도),150,273,22.16,12.51,14.89,1.38,781.35,105.74,3.86,0.09
1103,전/ 적 및 부침류,계적        ,250,487.5,0,57.75,30.5,0,210.1,169.2,8,0.25
1104,전/ 적 및 부침류,돔베기적     ,100,159,0,30.1,7.4,0,451.25,64.23,0.6,0
1105,전/ 적 및 부침류,소라산적     ,80,120,6.48,17.92,2.48,0.88,396.67,100.34,0.4,0
1106,전/ 적 및 부침류,오징어산적   ,80,101.6,3.6,17.36,2,0.88,477.1,234.25,0.24,0
1107,전/ 적 및 부침류,홍어적       ,100,89,0,23.6,0.7,0.3,323.53,96.77,0.1,0
1108,전/ 적 및 부침류,홍합산적     ,80,156.8,10.56,17.76,4.8,3.36,719.72,60.71,0.8,0.08
1109,전/ 적 및 부침류,두부전,150,255,7.5,20.4,15.9,0,317.16,3.28,1.95,0
1110,전/ 적 및 부침류,동태전,150,268.05,10.54,22.64,15.04,0.22,702.16,178.76,3.16,0.09
1111,전/ 적 및 부침류,동태전(강원도),150,288,10.45,22.94,17.09,0.06,789.28,187.94,3.61,0.1
1112,전/ 적 및 부침류,동태전(경기도),150,229.5,6.28,19.56,14.04,0.14,688.06,173.44,3.02,0.08
1113,전/ 적 및 부침류,동태전(경상도),150,261,8.51,23.71,14.69,0.07,841.58,195.34,2.89,0.09
1114,전/ 적 및 부침류,동태전(서울),150,298.5,12.37,25.63,16.24,0.51,485.25,177.77,3.08,0.09
1115,전/ 적 및 부침류,동태전(전라도),150,270,11.54,22.52,14.86,0.36,702.8,186.2,3.32,0.08
1116,전/ 적 및 부침류,동태전(충청도),150,262.5,14.06,21.45,13.32,0.15,705.97,151.87,3.07,0.09
1117,전/ 적 및 부침류,가자미전     ,150,231,6.9,25.8,11.1,0.3,819.36,176.26,2.25,0
1118,전/ 적 및 부침류,파전,150,292.8,34.81,6.83,14.03,0.79,345.96,46.14,2.26,0.07
1119,전/ 적 및 부침류,파전(강원도),150,267,37.45,6.8,10.05,0.39,316.62,39.64,1.82,0.04
1120,전/ 적 및 부침류,파전(경기도),150,306,39.09,6.66,13.68,0.36,340.25,30.87,2.34,0.08
1121,전/ 적 및 부침류,파전(경상도),150,273,28.02,6.8,14.9,0.48,318.57,73.52,2.13,0.08
1122,전/ 적 및 부침류,파전(서울),150,342,33.97,7.6,19.51,1.06,372.93,55.51,2.74,0.07
1123,전/ 적 및 부침류,파전(전라도),150,268.5,30.33,6.77,13.32,1.13,449.16,50.7,2.47,0.06
1124,전/ 적 및 부침류,파전(충청도),150,300,39.98,6.38,12.69,1.29,278.24,26.6,2.07,0.07
1125,전/ 적 및 부침류,해물파전,150,276.18,30.07,11.04,12.42,0.42,366.82,105.85,2.13,0.06
1126,전/ 적 및 부침류,해물파전(강원도),150,280.5,30.9,10.37,12.82,0.03,352.1,91.84,1.78,0.05
1127,전/ 적 및 부침류,해물파전(경기도),150,286.5,33.18,10.9,12.24,0.04,386.73,108.23,2.23,0.07
1128,전/ 적 및 부침류,해물파전(경상도),150,271.5,27.4,9.54,13.7,0.01,294.22,84.95,2.17,0.07
1129,전/ 적 및 부침류,해물파전(서울),150,280.5,29.3,12.88,12.42,0.73,414.66,99.57,2.33,0.04
1130,전/ 적 및 부침류,해물파전(전라도),150,268.5,29.54,11.02,11.74,1.5,402.27,134.27,2.36,0.06
1131,전/ 적 및 부침류,해물파전(충청도),150,270,30.08,11.54,11.58,0.18,350.94,116.27,1.93,0.07
1132,전/ 적 및 부침류,떡갈비,250,677.36,29.1,43.94,42.8,8.92,1102.78,108.11,15.25,0.64
1133,전/ 적 및 부침류,떡갈비(강원도),250,700,34.89,39.1,44.92,5.22,1251.99,106.2,15.04,0.34
1134,전/ 적 및 부침류,떡갈비(경기도),250,645,27.44,43.82,40.05,9.14,1048.14,115.05,14.51,0.54
1135,전/ 적 및 부침류,떡갈비(경상도),250,670,32.41,42.04,41.44,9.26,1361.75,113.1,14.3,0.52
1136,전/ 적 및 부침류,떡갈비(서울),250,592.5,22.88,47.74,34.46,10.8,1003.57,113.3,11.4,0.74
1137,전/ 적 및 부침류,떡갈비(전라도),250,762.5,23.57,50.76,51.59,12.09,827.36,107.38,19.52,0.97
1138,전/ 적 및 부침류,떡갈비(충청도),250,692.5,33.37,40.21,44.33,7,1123.85,93.66,16.72,0.7
1139,전/ 적 및 부침류,동그랑땡,150,309.2,12.68,19.62,20,0.98,553.09,103.27,4.66,0.12
1140,전/ 적 및 부침류,동그랑땡(강원도),150,333,11.29,20.61,22.86,0.03,588.69,119.34,5.1,0.1
1141,전/ 적 및 부침류,동그랑땡(경기도),150,294,11.36,18.92,19.18,1.35,456.12,94.16,4.8,0.11
1142,전/ 적 및 부침류,동그랑땡(경상도),150,307.5,13.06,18.68,20.1,0.19,603.46,92.52,4.75,0.12
1143,전/ 적 및 부침류,동그랑땡(서울),150,330,10.84,21.79,22.13,0.79,603.18,80.76,4.87,0.15
1144,전/ 적 및 부침류,동그랑땡(전라도),150,285,18.9,18.09,15.19,2.1,610.36,145.59,3.39,0.09
1145,전/ 적 및 부침류,동그랑땡(충청도),150,306,10.64,19.61,20.55,1.4,456.71,87.23,5.04,0.13
1146,전/ 적 및 부침류,낙지꼬지     ,80,75.2,2.8,13.12,1.28,0,207.06,133.74,0.16,0
1147,볶음류,건새우볶음,20,65.73,5.71,4.67,2.69,2.6,196.24,33.45,0.4,0.02
1148,볶음류,건새우볶음(강원도),20,64.2,5.41,5.55,2.27,2.6,194.34,41.17,0.49,0.03
1149,볶음류,건새우볶음(경기도),20,69.4,5.79,4.56,3.12,2.66,208.91,27.79,0.39,0.03
1150,볶음류,건새우볶음(경상도),20,73.4,4.94,4.81,3.82,2.42,199.6,29.42,0.55,0.04
1151,볶음류,건새우볶음(서울),20,66.8,6.81,4.76,2.27,2.94,203.62,32.96,0.36,0.03
1152,볶음류,건새우볶음(전라도),20,62,5.08,4.67,2.55,2.19,147.37,38.99,0.27,0.01
1153,볶음류,건새우볶음(충청도),20,58.6,6.22,3.7,2.1,2.77,223.59,30.36,0.37,0.01
1154,볶음류,두부김치,250,288.21,14.08,19.46,17.12,1.49,989.69,13.92,3.17,0.08
1155,볶음류,두부김치(강원도),250,282.5,14.86,19.5,16.06,2.01,1009.54,14.7,3.38,0.06
1156,볶음류,두부김치(경기도),250,350,9.99,19.81,25.76,0.76,934.02,24.93,3.54,0.1
1157,볶음류,두부김치(경상도),250,270,11.12,19.28,16.45,1.79,1110.72,6.8,3.08,0.06
1158,볶음류,두부김치(서울),250,270,16.22,19.75,13.99,1.65,898.64,4.02,2.45,0.05
1159,볶음류,두부김치(전라도),250,297.5,16.46,18.66,17.41,1.75,932.96,19.63,4.23,0.11
1160,볶음류,두부김치(충청도),250,260,15.82,19.8,13.02,0.96,1052.24,13.44,2.36,0.06
1161,볶음류,낙지볶음,200,186.83,21.67,14.89,4.51,7.56,895.12,118.31,0.89,0.04
1162,볶음류,낙지볶음(강원도),200,200,25.5,13.58,4.81,11.76,1043.77,116.79,1.02,0.08
1163,볶음류,낙지볶음(경기도),200,162,20.39,13.8,2.71,5.78,943.41,124.73,0.98,0.04
1164,볶음류,낙지볶음(경상도),200,170,21.26,11.84,4.13,5.31,1006.04,90.45,0.76,0.03
1165,볶음류,낙지볶음(서울),200,210,21.41,18.12,5.75,4.77,684.02,130.27,0.83,0.04
1166,볶음류,낙지볶음(전라도),200,192,19.09,17.11,5.32,8.46,822.46,141.52,0.92,0.05
1167,볶음류,낙지볶음(충청도),200,188,22.39,14.86,4.35,9.28,871.04,106.08,0.83,0.02
1168,볶음류,돼지고기볶음,200,350.67,18.21,22.96,20.67,8.2,1051.76,57.87,5.12,0.15
1169,볶음류,돼지고기볶음(강원도),200,298,17.3,19.72,16.69,9.64,1248.01,51.99,4.48,0.17
1170,볶음류,돼지고기볶음(경기도),200,422,24.94,22.64,25.78,5.48,779.36,63.88,7.66,0.22
1171,볶음류,돼지고기볶음(경상도),200,340,22.85,25.18,16.52,13.02,1154.06,55.72,4.36,0.11
1172,볶음류,돼지고기볶음(서울),200,382,15.61,25.47,24.28,9.36,947.83,63.2,5.61,0.17
1173,볶음류,돼지고기볶음(전라도),200,378,13.85,24.04,25.19,8.66,1029.6,64.08,5.41,0.11
1174,볶음류,돼지고기볶음(충청도),200,282,14.72,20.71,15.54,3.05,1151.69,48.35,3.18,0.14
1175,볶음류,마파두부,200,227.93,10.73,15.26,13.77,0.29,691.4,24.58,2.77,0.08
1176,볶음류,마파두부(강원도),200,214,11.92,14.51,11.98,0.63,765.41,39.03,3.01,0.08
1177,볶음류,마파두부(경기도),200,250,5.16,14.76,18.86,0.03,663.61,11.29,2.4,0.11
1178,볶음류,마파두부(경상도),200,228,8.91,16.13,14.22,0.12,714.1,18.1,3.66,0
1179,볶음류,마파두부(서울),200,244,10.81,15.89,15.27,0.35,676,21.61,2.93,0.14
1180,볶음류,마파두부(전라도),200,216,15.49,14.55,10.71,0.02,639.39,45.44,2.12,0.06
1181,볶음류,마파두부(충청도),200,216,12.12,15.69,11.61,0.58,689.88,11.98,2.5,0.06
1182,볶음류,떡볶이,200,303.53,60.48,7.61,3.46,6.83,853.08,7.49,0.75,0
1183,볶음류,떡볶이(강원도),200,284,49.8,5.73,6.92,5.27,895.6,11.69,0.93,0
1184,볶음류,떡볶이(경기도),200,316,54.7,7.68,7.43,7.39,831.81,9.21,1.22,0
1185,볶음류,떡볶이(경상도),200,294,62.93,8.29,1.01,8.54,785.72,4.59,0.34,0
1186,볶음류,떡볶이(서울),200,256,50.22,7.5,2.73,4.05,947.23,2.25,0.89,0
1187,볶음류,떡볶이(전라도),200,338,72.8,8.14,1.69,7.34,836.25,8.15,0.51,0.01
1188,볶음류,떡볶이(충청도),200,332,72.45,8.31,0.99,8.4,821.88,9.04,0.62,0.01
1189,볶음류,라볶이,200,268.82,49.4,6.93,4.83,6.96,871.45,25.67,2,0.02
1190,볶음류,라볶이(강원도),200,268,51.52,6.91,3.89,5.63,892.56,32.72,2,0.02
1191,볶음류,라볶이(경기도),200,288,49.56,6.84,6.88,7.47,852.35,50.81,2.07,0.02
1192,볶음류,라볶이(경상도),200,244,46.31,6.91,3.38,7.42,829.86,18.23,1.37,0.01
1193,볶음류,라볶이(서울),200,264,49.53,6.76,4.22,8.85,915.35,26.45,2.19,0.02
1194,볶음류,라볶이(전라도),200,272,50.07,7.75,4.53,6.8,890.12,19.81,2.14,0.06
1195,볶음류,라볶이(충청도),200,278,49.44,6.42,6.08,5.56,848.48,6.03,2.27,0.02
1196,볶음류,멸치풋고추볶음,20,52.38,3.41,4.65,2.24,1.43,275.54,36.6,0.39,0.02
1197,볶음류,멸치풋고추볶음(강원도),20,60,4.44,5.06,2.45,1.87,285.55,39.62,0.46,0.03
1198,볶음류,멸치풋고추볶음(경기도),20,56,3.02,4.53,2.87,1.66,277.81,34.71,0.38,0.04
1199,볶음류,멸치풋고추볶음(경상도),20,59.4,4.18,5.87,2.13,1.59,325.18,48.97,0.51,0.01
1200,볶음류,멸치풋고추볶음(서울),20,46.6,2.79,4.04,2.14,1.02,250.33,27.3,0.35,0.02
1201,볶음류,멸치풋고추볶음(전라도),20,44.8,2.62,4.3,1.91,1.22,249.29,36.8,0.37,0.03
1202,볶음류,멸치풋고추볶음(충청도),20,47.4,3.38,4.11,1.93,1.21,265.07,32.22,0.3,0.01
1203,볶음류,잔멸치볶음,20,68.41,5.25,6.2,2.51,2.56,379.29,49.37,0.47,0.02
1204,볶음류,잔멸치볶음(강원도),20,65.4,5.43,6.77,1.84,2.85,439.18,57.79,0.49,0.02
1205,볶음류,잔멸치볶음(경기도),20,70.2,5.54,6.43,2.49,2.75,376.86,45.63,0.54,0.02
1206,볶음류,잔멸치볶음(경상도),20,72.4,4.39,6.39,3.26,1.53,348.48,53.82,0.49,0.02
1207,볶음류,잔멸치볶음(서울),20,67.6,6.02,6.16,2.1,3.02,359.93,41.63,0.42,0.03
1208,볶음류,잔멸치볶음(전라도),20,66.8,5.95,5.64,2.27,2.98,325.77,50.44,0.4,0.02
1209,볶음류,잔멸치볶음(충청도),20,67.8,4.17,5.82,3.1,2.23,425.52,46.9,0.51,0.02
1210,볶음류,잡채,150,204.32,38.84,2.05,4.53,2.72,658.95,0,0.75,0.04
1211,볶음류,잡채(강원도),150,195,38.05,2.04,3.79,1.63,635.47,0,0.72,0.04
1212,볶음류,잡채(경기도),150,205.5,39.92,1.88,4.18,1.98,668.73,0,0.76,0.06
1213,볶음류,잡채(경상도),150,213,36.18,2.69,6.37,2.62,691.33,0,0.85,0.06
1214,볶음류,잡채(서울),150,193.5,36.99,1.45,4.43,2.33,631.47,0,0.66,0
1215,볶음류,잡채(전라도),150,223.5,43.12,2.54,4.56,3.04,564.01,0,0.92,0.04
1216,볶음류,잡채(충청도),150,196.5,38.79,1.71,3.84,4.71,762.73,0,0.63,0.03
1217,볶음류,고추잡채,200,256.77,26.17,10.99,12.01,2.09,828.55,39.26,2.11,0.08
1218,볶음류,고추잡채(강원도),200,250,24.54,11.91,11.62,1.16,769.94,42.22,2.57,0.1
1219,볶음류,고추잡채(경기도),200,286,27.32,11.12,14.77,1.71,751.16,34.88,2.4,0.11
1220,볶음류,고추잡채(경상도),200,240,25.26,11.13,10.41,0.97,907.18,25.53,2.33,0
1221,볶음류,고추잡채(서울),200,278,25.6,10.02,15.04,2.88,851.68,42.93,1.71,0.12
1222,볶음류,고추잡채(전라도),200,240,25.66,9.09,11.17,1.16,894.01,55.06,1.66,0.06
